year,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,No_products
01/01/15,Quarter1,sweing,Thursday,8,0.8,26.16,1108,7080,98,0,0,0,59,0.940725424,1018.4
01/01/15,Quarter1,finishing ,Thursday,1,0.75,3.94,,960,0,0,0,0,8,0.8865,864
01/01/15,Quarter1,sweing,Thursday,11,0.8,11.41,968,3660,50,0,0,0,30.5,0.800570492,1027.2
01/01/15,Quarter1,sweing,Thursday,12,0.8,11.41,968,3660,50,0,0,0,30.5,0.800570492,1027.2
01/01/15,Quarter1,sweing,Thursday,6,0.8,25.9,1170,1920,50,0,0,0,56,0.800381944,682.333333
01/01/15,Quarter1,sweing,Thursday,7,0.8,25.9,984,6720,38,0,0,0,56,0.800125,830.4
01/01/15,Quarter1,finishing ,Thursday,2,0.75,3.94,,960,0,0,0,0,8,0.755166667,736.0000003
01/01/15,Quarter1,sweing,Thursday,3,0.75,28.08,795,6900,45,0,0,0,57.5,0.753683478,740.7999997
01/01/15,Quarter1,sweing,Thursday,2,0.75,19.87,733,6000,34,0,0,0,55,0.753097531,977.851852
01/01/15,Quarter1,sweing,Thursday,1,0.75,28.08,681,6900,45,0,0,0,57.5,0.750427826,737.5999999
01/01/15,Quarter1,sweing,Thursday,9,0.7,28.08,872,6900,44,0,0,0,57.5,0.721126957,708.8000005
01/01/15,Quarter1,sweing,Thursday,10,0.75,19.31,578,6480,45,0,0,0,54,0.712205247,956.0000001
01/01/15,Quarter1,sweing,Thursday,5,0.8,11.41,668,3660,50,0,0,0,30.5,0.707045902,907.2000005
01/01/15,Quarter1,finishing ,Thursday,10,0.65,3.94,,960,0,0,0,0,8,0.705916667,688.0000003
01/01/15,Quarter1,finishing ,Thursday,8,0.75,2.9,,960,0,0,0,0,8,0.676666667,896.0000004
01/01/15,Quarter1,finishing ,Thursday,4,0.75,3.94,,2160,0,0,0,0,18,0.593055556,1300.507615
01/01/15,Quarter1,finishing ,Thursday,7,0.8,2.9,,960,0,0,0,0,8,0.540729167,716.0000004
01/01/15,Quarter1,sweing,Thursday,4,0.65,23.69,861,7200,0,0,0,0,60,0.52118,633.6
01/01/15,Quarter1,finishing,Thursday,11,0.7,4.15,,1440,0,0,0,0,12,0.436326389,605.6000002
03/01/15,Quarter1,finishing ,Saturday,4,0.8,4.15,,6600,0,0,0,0,20,0.988024691,3285.479695
03/01/15,Quarter1,finishing ,Saturday,11,0.75,2.9,,5640,0,0,0,0,17,0.987880435,4006.025488
03/01/15,Quarter1,finishing ,Saturday,9,0.8,4.15,,960,0,0,0,0,8,0.956270833,884.8385539
03/01/15,Quarter1,finishing ,Saturday,3,0.75,3.94,,1560,0,0,0,0,8,0.945277778,1065.236887
